18776133-17	In the current study, we found that treatment of peripheral blood mononuclear cells with combination <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> / <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> for 48 hours, but not with <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> or <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> alone, abrogated <mark style="background-color:lightblue;" id="5743">dexamethasone</mark> ( <mark style="background-color:lightgreen;" id="P48845">DEX</mark> )-induced <mark style="background-color:lightgreen;" id="O13186,O46567,O73673,P04150,P06536,P06537,P35547,P49115,P49843,P49844,P59667,P79269,P79686,Q5R9P5,Q6XLJ0,Q95267,Q9N1U3">glucocorticoid receptor</mark> (GCR)-alpha nuclear translocation in both <mark style="background-color:lightgreen;" id="P01730,P05542,P16003,P16004,P33705,P46630,P79184,P79185,Q08336,Q08338,Q08339,Q08340,Q29037,Q9XS78">CD4</mark> (+) and CD8(+) T cells.
18838523-1691	<mark style="background-color:lightgreen;" id="P0C081,P0C082,P0C083,P0C084,P0C085,P16462,P16535,P55117,P55118,P55123,Q7BHI8,Q9ETX2,Q9EV27,Q9EV29,Q9EV30,Q9EV31,Q9EV32,Q9EV33,Q9EV34">Leukotoxin</mark> activity was evaluated by measuring <mark style="background-color:lightblue;" id="271">Ca(2</mark>+) entry or <mark style="background-color:yellow;" id="GO:0046931,biological_process">pore formation</mark> using spectrofluorometry or flow cytometry.
18830381-1696	The profile of global DNA and <mark style="background-color:lightgreen;" id="O42132,P03372,P06211,P06212,P16058,P19785,P49884,P49885,P49886,P50240,P50241,P50242,P57717,P57753,P81559,Q29040,Q53AD2,Q91250,Q91424,Q9PVZ9,Q9QZJ5,Q9TV98,Q9YH33,Q9YHT3,Q9YHZ7">estrogen receptor</mark> ( <mark style="background-color:yellow;" id="GO:0005783,cellular_component">ER</mark> )-alpha gene methylation during cancer <mark style="background-color:yellow;" id="GO:0007275,biological_process">development</mark> was determined by analysis of <mark style="background-color:lightblue;" id="65040">5-methylcytosine</mark> (5-<mark style="background-color:lightblue;" id="448166">MeC</mark>) using immunohistochemical (IHC) staining, dot blot analysis or a quantitative gene methylation assay (QGMA).
18854981-1711	Intrinsic fluorescence of <mark style="background-color:lightblue;" id="1148,6305,9060,5460840">tryptophan</mark>-214 in <mark style="background-color:lightgreen;" id="P24807,Q07490">HSA</mark> was monitored upon addition of the chemicals.
18854987-1716	The <mark style="background-color:lightgreen;" id="O23760,O81646,O82054,P21964,P28002,P46484,Q06509,Q06528,Q43239,Q43609,Q6ZD89,Q8GU25,Q8LL87,Q8W013,Q99028,Q9FQY8,Q9SWC2">COMT</mark> enzyme breaks down <mark style="background-color:yellow;" id="GO:0005576,cellular_component">extracellular</mark> <mark style="background-color:lightblue;" id="681">dopamine</mark> (DA) and has a particularly important role in the prefrontal cortex ( <mark style="background-color:lightgreen;" id="P27918,Q5RBP8,Q64181">PFC</mark> ) where <mark style="background-color:lightgreen;" id="P23977,P27922,Q01959,Q03614,Q61327,Q9GJT6">DA transporters</mark> are sparse.
18936931-1732	Effect of genetic polymorphisms of <mark style="background-color:lightgreen;" id="P20815">CYP3A5</mark> and <mark style="background-color:lightgreen;" id="P08183,P13568,P16875,P28873,P53258,Q06034,Q9LJX0,Q9ZR72">MDR1</mark> on <mark style="background-color:lightblue;" id="5280754,5284373,5497195,6435893,24883466,25246316">cyclosporine</mark> concentration during the early stage after renal transplantation in Chinese patients co-treated with <mark style="background-color:lightblue;" id="39186">diltiazem</mark>.
18936931-1733	The aim of this study was to assess the influence of the cytochrome (CYP450)3A5 and multidrug resistance ( <mark style="background-color:lightgreen;" id="P08183,P13568,P16875,P28873,P53258,Q06034,Q9LJX0,Q9ZR72">MDR1</mark> ) gene polymorphisms on <mark style="background-color:lightblue;" id="2909,5280754,5284373,5497195,6435893,49867938">cyclosporine A</mark> (CsA) trough concentration during the early stage after renal transplantation in Chinese patients co-treated with <mark style="background-color:lightblue;" id="39186">diltiazem</mark>.
18855021-1734	The metal-<mark style="background-color:lightblue;" id="5047209">thiolate</mark> connectivity of recombinant Cd(7)-MT10 <mark style="background-color:lightgreen;" id="O02033,O13257,O18842,O42152,O93571,P02807,P04358,P07216,P08002,P23038,P25127,P25128,P30331,P30565,P51902,P52723,P52725,P52726,P52728,P55945,P55946,P55948,P55951,P55952,P55953,P68494,P68495,P68497,P68498,P68499,P80367,P80593,P84865,Q05890,Q6J1T3,Q6S4N8,Q6XUW5,Q708T3,Q7ZZP9,Q800D3,Q8UVY1,Q94550,Q9IB50,Q9U568">metallothionein</mark> from the sea mussel Mytilus galloprovincialis has been investigated for the first time by means of multinuclear, multidimensional NMR spectroscopy.
18936191-1737	<mark style="background-color:lightblue;" id="11561383">HCV-796</mark> is a nonnucleoside inhibitor of the hepatitis C virus (HCV) <mark style="background-color:lightgreen;" id="P18571,P30890">nonstructural protein</mark> <mark style="background-color:lightblue;" id="5462311">5B</mark> ( <mark style="background-color:lightgreen;" id="O39927,O39928,O39929,O91936,O92529,O92530,O92531,O92532,P19711,P19712,P19741,P21530,P26660,P26661,P26662,P26663,P26664,P27958,P29846,Q00269,Q01499,Q5I2N3,Q68749,Q68798,Q68801,Q69422,Q81258,Q81487,Q81495,Q81754,Q913D4,Q96662,Q99IB8,Q9DHD6,Q9QAX1,Q9WMX2">NS5B</mark> ) polymerase, and boceprevir is an inhibitor of the <mark style="background-color:lightgreen;" id="O71152,P06591,P15775,P15779,P29076,Q04854,Q90056">NS3</mark>  <mark style="background-color:lightgreen;" id="P83290">serine protease</mark> .
18936191-1739	Mutations known to confer resistance to <mark style="background-color:lightblue;" id="11561383">HCV-796</mark> ( <mark style="background-color:lightgreen;" id="O39927,O39928,O39929,O91936,O92529,O92530,O92531,O92532,P19711,P19712,P19741,P21530,P26660,P26661,P26662,P26663,P26664,P27958,P29846,Q00269,Q01499,Q5I2N3,Q68749,Q68798,Q68801,Q69422,Q81258,Q81487,Q81495,Q81754,Q913D4,Q96662,Q99IB8,Q9DHD6,Q9QAX1,Q9WMX2">NS5B</mark> C316Y) and boceprevir ( <mark style="background-color:lightgreen;" id="O71152,P06591,P15775,P15779,P29076,Q04854,Q90056">NS3</mark> V170A) were present in the combination-resistant replicons.
18855035-1741	Radical scavenging activity of lipophilized products from <mark style="background-color:lightgreen;" id="Q7M4U7">lipase</mark> -catalyzed transesterification of <mark style="background-color:lightblue;" id="5497163">triolein</mark> with cinnamic and ferulic acids.
18855035-1742	<mark style="background-color:lightgreen;" id="Q7M4U7">Lipase</mark> -catalyzed transesterification of <mark style="background-color:lightblue;" id="5497163">triolein</mark> with cinnamic and ferulic acids using an immobilized <mark style="background-color:lightgreen;" id="Q7M4U7">lipase</mark> from Candida antarctica (E.C.
18936963-1743	The -417- and -593 bp promoter regions were sufficient for <mark style="background-color:lightgreen;" id="P05804">GUS</mark> gene activation by <mark style="background-color:lightblue;" id="6325,21159546">ethylene</mark> and <mark style="background-color:lightblue;" id="62388,5281929,5319693,5367719,6432008">methyl jasmonate</mark> treatments, respectively.
18822278-1745	Inhibition of <mark style="background-color:lightgreen;" id="O14313,O22711,O30973,O32823,O43099,O66790,O69777,O83790,O84101,P0A9P4,P0A9P5,P0AE52,P0AE53,P0AE54,P0AE55,P14292,P14293,P21762,P26830,P30044,P34227,P39916,P40553,P43496,P43788,P44411,P44758,P46843,P47348,P49537,P50971,P51272,P51978,P52213,P52214,P52215,P55979,P56431,P56577,P56578,P56876,P57279,P57399,P61076,P65688,P65689,P66010,P66011,P73728,P75531,P80880,P80892,P81433,P94284,P99029,P99101,Q01116,Q05741,Q25861,Q53212,Q55624,Q5HHQ4,Q5HQW4,Q6BIS1,Q6C7L4,Q6FR39,Q6GB66,Q6GIM7,Q75CM8,Q7Z7S3,Q89AJ2,Q89AS1,Q8CPY8,Q8J0U0,Q8K9W0,Q8T6Z1,Q92375,Q928B5,Q92I02,Q98PK9,Q9BGI1,Q9GLW7,Q9GLW9,Q9KSS4,Q9M7T0,Q9PKT7,Q9PR71,Q9R063,Q9Z8M4,Q9ZD97,Q9ZHF0,Q9ZL18,Q9ZMU4">thioredoxin reductase</mark> by <mark style="background-color:lightblue;" id="94304">mansonone F</mark> analogues: Implications for anticancer activity.
18936983-1746	Reversible two-step unfolding of <mark style="background-color:lightblue;" id="4971">heme</mark>-human <mark style="background-color:lightgreen;" id="P21847,P83517">serum albumin</mark> : a (1)H-NMR relaxometric and circular dichroism study.
18936983-1747	Human <mark style="background-color:lightgreen;" id="P21847,P83517">serum albumin</mark> ( <mark style="background-color:lightgreen;" id="P24807,Q07490">HSA</mark> ) participates in <mark style="background-color:lightblue;" id="4971">heme</mark> scavenging, the bound <mark style="background-color:lightblue;" id="4971">heme</mark> turning out to be a reactivity center and a powerful spectroscopic probe.
18936983-1748	Here, the reversible unfolding of <mark style="background-color:lightblue;" id="4971">heme</mark>- <mark style="background-color:lightgreen;" id="P24807,Q07490">HSA</mark> has been investigated by (1)H-NMR relaxometry, circular dichroism, and absorption spectroscopy.
18945212-1760	Reactivity of <mark style="background-color:lightblue;" id="145068">nitric oxide</mark> with the [<mark style="background-color:lightblue;" id="6398953">4Fe-4S] cluster</mark> of <mark style="background-color:lightgreen;" id="O06069,O27498,O29248,O51887,O67009,O69198,P05791,P31874,P31959,P40810,P44851,P51785,P55186,P57656,P57957,P59426,P65154,P65155,P65156,P65157,P65158,P65159,P65160,P74689,Q02139,Q317H9,Q31UL3,Q329V0,Q3A3A5,Q3AER0,Q3APB9,Q3BYS5,Q3IMV2,Q3IXP4,Q3J9N3,Q3JV12,Q3K559,Q3SW60,Q3YVJ3,Q3Z888,Q3ZXH9,Q46AU2,Q46LF6,Q47JC0,Q47MS7,Q47UN7,Q48PA6,Q491Z0,Q4FM19,Q4FS54,Q4J860,Q4JUN3,Q4K498,Q4L7T6,Q4QMF8,Q4UZT2,Q4ZZ83,Q57FS2,Q57HU7,Q58672,Q5E1P2,Q5F8G6,Q5FN26,Q5GUY8,Q5HEE8,Q5HMG3,Q5HXE4,Q5KYA5,Q5L9I8,Q5LN98,Q5LYH1,Q5M334,Q5N3N2,Q5NH32,Q5NLJ4,Q5PK00,Q5SIY0,Q5V545,Q5WEM9,Q606D6,Q62LG7,Q63CV3,Q63WB9,Q64PS6,Q65IB0,Q65QD4,Q66G45,Q67KX6,Q6AEN9,Q6CZC7,Q6G543,Q6G7Q4,Q6GF19,Q6HKA0,Q6KZ30,Q6LLH7,Q6M0F3,Q6N9S5,Q6NHN6,Q71Y38,Q725Q1,Q72JA8,Q72TC0,Q73TT7,Q74BW7,Q7MAN4,Q7MGI8,Q7MYJ5,Q7NGK1,Q7NYJ7,Q7TV16,Q7U763,Q7UJ69,Q7V1T1,Q7VC95,Q7VHW3,Q7VRL8,Q81F26,Q81S26,Q82E99,Q82XY7,Q83GP9,Q83HI6,Q83PI6,Q87F63,Q87KB6,Q87V83,Q88CQ2,Q8A608,Q8CNL6,Q8DDG1,Q8DK13,Q8DRT7,Q8E9D9,Q8EN63,Q8F219,Q8FBR5,Q8G353,Q8G3H2,Q8KER4,Q8KTS9,Q8NQZ9,Q8PDJ3,Q8PQI0,Q8Q078,Q8RDJ9,Q8TW40,Q8U297,Q8UE43,Q8XAV1,Q8XWR1,Q8Y5S2,Q8YEN0,Q8YTE6,Q8Z377,Q8ZAB3,Q8ZYU6,Q92A32,Q92M28,Q96YK0,Q97EE3,Q97UB2,Q9I6E0,Q9JS61,Q9JUE0,Q9K8E4,Q9KVW0,Q9PH47,Q9PJ98,Q9RQ48,Q9RQ52,Q9RQ56,Q9RV97,Q9UZ03,Q9WZ21,Q9XBI3,Q9YG88">dihydroxyacid dehydratase</mark> from Escherichia coli.
18945212-1763	The rate constant for the initial reaction between NO and the <mark style="background-color:lightgreen;" id="O06069,O27498,O29248,O51887,O67009,O69198,P05791,P31874,P31959,P40810,P44851,P51785,P55186,P57656,P57957,P59426,P65154,P65155,P65156,P65157,P65158,P65159,P65160,P74689,Q02139,Q317H9,Q31UL3,Q329V0,Q3A3A5,Q3AER0,Q3APB9,Q3BYS5,Q3IMV2,Q3IXP4,Q3J9N3,Q3JV12,Q3K559,Q3SW60,Q3YVJ3,Q3Z888,Q3ZXH9,Q46AU2,Q46LF6,Q47JC0,Q47MS7,Q47UN7,Q48PA6,Q491Z0,Q4FM19,Q4FS54,Q4J860,Q4JUN3,Q4K498,Q4L7T6,Q4QMF8,Q4UZT2,Q4ZZ83,Q57FS2,Q57HU7,Q58672,Q5E1P2,Q5F8G6,Q5FN26,Q5GUY8,Q5HEE8,Q5HMG3,Q5HXE4,Q5KYA5,Q5L9I8,Q5LN98,Q5LYH1,Q5M334,Q5N3N2,Q5NH32,Q5NLJ4,Q5PK00,Q5SIY0,Q5V545,Q5WEM9,Q606D6,Q62LG7,Q63CV3,Q63WB9,Q64PS6,Q65IB0,Q65QD4,Q66G45,Q67KX6,Q6AEN9,Q6CZC7,Q6G543,Q6G7Q4,Q6GF19,Q6HKA0,Q6KZ30,Q6LLH7,Q6M0F3,Q6N9S5,Q6NHN6,Q71Y38,Q725Q1,Q72JA8,Q72TC0,Q73TT7,Q74BW7,Q7MAN4,Q7MGI8,Q7MYJ5,Q7NGK1,Q7NYJ7,Q7TV16,Q7U763,Q7UJ69,Q7V1T1,Q7VC95,Q7VHW3,Q7VRL8,Q81F26,Q81S26,Q82E99,Q82XY7,Q83GP9,Q83HI6,Q83PI6,Q87F63,Q87KB6,Q87V83,Q88CQ2,Q8A608,Q8CNL6,Q8DDG1,Q8DK13,Q8DRT7,Q8E9D9,Q8EN63,Q8F219,Q8FBR5,Q8FPX6,Q8G353,Q8G3H2,Q8KER4,Q8KTS9,Q8NQZ9,Q8PDJ3,Q8PQI0,Q8Q078,Q8RDJ9,Q8TW40,Q8U297,Q8UE43,Q8XAV1,Q8XWR1,Q8Y5S2,Q8YEN0,Q8YTE6,Q8Z377,Q8ZAB3,Q8ZYU6,Q92A32,Q92M28,Q96YK0,Q97EE3,Q97UB2,Q98BZ8,Q9I6E0,Q9JUE0,Q9K8E4,Q9KVW0,Q9PH47,Q9PJ98,Q9RQ48,Q9RQ52,Q9RQ56,Q9RV97,Q9UZ03,Q9WZ21,Q9XBI3,Q9YG88">IlvD</mark> [<mark style="background-color:lightblue;" id="6398953">4Fe-4S] cluster</mark> is estimated to be (7.0+/-2.0)x10(6) M(-2) x s(-1) at 25 degrees C, which is approx.
18945212-1766	The results suggest that the iron-<mark style="background-color:lightblue;" id="402">sulfur</mark> clusters in proteins such as <mark style="background-color:lightgreen;" id="O06069,O27498,O29248,O51887,O67009,O69198,P05791,P31874,P31959,P40810,P44851,P51785,P55186,P57656,P57957,P59426,P65154,P65155,P65156,P65157,P65158,P65159,P65160,P74689,Q02139,Q317H9,Q31UL3,Q329V0,Q3A3A5,Q3AER0,Q3APB9,Q3BYS5,Q3IMV2,Q3IXP4,Q3J9N3,Q3JV12,Q3K559,Q3SW60,Q3YVJ3,Q3Z888,Q3ZXH9,Q46AU2,Q46LF6,Q47JC0,Q47MS7,Q47UN7,Q48PA6,Q491Z0,Q4FM19,Q4FS54,Q4J860,Q4JUN3,Q4K498,Q4L7T6,Q4QMF8,Q4UZT2,Q4ZZ83,Q57FS2,Q57HU7,Q58672,Q5E1P2,Q5F8G6,Q5FN26,Q5GUY8,Q5HEE8,Q5HMG3,Q5HXE4,Q5KYA5,Q5L9I8,Q5LN98,Q5LYH1,Q5M334,Q5N3N2,Q5NH32,Q5NLJ4,Q5PK00,Q5SIY0,Q5V545,Q5WEM9,Q606D6,Q62LG7,Q63CV3,Q63WB9,Q64PS6,Q65IB0,Q65QD4,Q66G45,Q67KX6,Q6AEN9,Q6CZC7,Q6G543,Q6G7Q4,Q6GF19,Q6HKA0,Q6KZ30,Q6LLH7,Q6M0F3,Q6N9S5,Q6NHN6,Q71Y38,Q725Q1,Q72JA8,Q72TC0,Q73TT7,Q74BW7,Q7MAN4,Q7MGI8,Q7MYJ5,Q7NGK1,Q7NYJ7,Q7TV16,Q7U763,Q7UJ69,Q7V1T1,Q7VC95,Q7VHW3,Q7VRL8,Q81F26,Q81S26,Q82E99,Q82XY7,Q83GP9,Q83HI6,Q83PI6,Q87F63,Q87KB6,Q87V83,Q88CQ2,Q8A608,Q8CNL6,Q8DDG1,Q8DK13,Q8DRT7,Q8E9D9,Q8EN63,Q8F219,Q8FBR5,Q8FPX6,Q8G353,Q8G3H2,Q8KER4,Q8KTS9,Q8NQZ9,Q8PDJ3,Q8PQI0,Q8Q078,Q8RDJ9,Q8TW40,Q8U297,Q8UE43,Q8XAV1,Q8XWR1,Q8Y5S2,Q8YEN0,Q8YTE6,Q8Z377,Q8ZAB3,Q8ZYU6,Q92A32,Q92M28,Q96YK0,Q97EE3,Q97UB2,Q98BZ8,Q9I6E0,Q9JUE0,Q9K8E4,Q9KVW0,Q9PH47,Q9PJ98,Q9RQ48,Q9RQ52,Q9RQ56,Q9RV97,Q9UZ03,Q9WZ21,Q9XBI3,Q9YG88">IlvD</mark> and <mark style="background-color:lightgreen;" id="O04916,O08451,O13966,P09339,P16276,P19414,P20004,P21399,P28271,P34455,P37032,P49608,P49609,P63433,P63434,P70920,P82611,P99148,Q01059,Q23500,Q2A1K3,Q42669,Q59938,Q5HG69,Q5HPJ0,Q63270,Q6G9K9,Q6GH55,Q6YZX6,Q8CPC2,Q90875,Q92G90,Q99798,Q99KI0,Q9ER34,Q9ZCF4">aconitase</mark> B may constitute the primary targets of the NO cytotoxicity under both aerobic and anaerobic conditions.
18945215-1768	Acylcarnitines have been suggested to play a role in <mark style="background-color:lightgreen;" id="P01314,P01316,P01319,P01320,P01324,P01328,P01330,P01331,P01334,P01336,P01340,P07453,P09476,P09477,P0C236,P12703,P12704,P12708,P13190,P18109,P29335,P42633,P67968,P67969,P67971,P67973,P67974,P68243,P68245,P68987,P68988,P68989,P68990,P68991,P68992,P69046,P69047,P69048,P81423,P81881,Q9TQY7">insulin</mark> resistance, as well as other <mark style="background-color:lightblue;" id="284">long-chain fatty acid</mark> metabolites.
18945217-1773	<mark style="background-color:lightblue;" id="702">Ethanol</mark> attenuates the <mark style="background-color:lightblue;" id="3064778">HFS</mark>-induced, <mark style="background-color:lightgreen;" id="P29323">ERK</mark> -mediated <mark style="background-color:lightgreen;" id="O04004,O04404,O23758,O24418,O65888,P0C088,P10976,P13865,P19656,P20145,P23096,P23802,P24296,P26912,P26913,P27631,P29420,P43217,P80450,P82007,P84160,P84161,Q39794,Q39950,Q40905,Q41073,Q42762,Q43129,Q43681,Q43748,Q9M5X6,Q9M5X7,Q9M5X8,Q9SW93">LTP</mark> in a dose-dependent manner in rat striatum.
18855107-1775	Validation of a food frequency questionnaire measurement of dietary acrylamide intake using <mark style="background-color:lightgreen;" id="P15160,P17724,P73925,Q03459">hemoglobin</mark> adducts of acrylamide and <mark style="background-color:lightblue;" id="91550">glycidamide</mark>.
18838739-1780	These <mark style="background-color:lightgreen;" id="P00920,P27139">Ca2</mark> +-independent <mark style="background-color:lightgreen;" id="O77793,P00608,P00609,P00610,P00620,P00622,P04362,P14419,P14420,P14556,P18999,P20258,P20259,P20260,P20474,P21789,P31854,P47712,P47713,P49147,P50392,P50393,P51972,P59066,P81166,P81167,P81236,P81237,P81243,P82971,P84651,P84736,Q10756,Q7M3V3,Q7M4I5,Q7M4I6,Q99289,Q9BMK4,Q9I8F8">phospholipases A2</mark> display remarkable specificity for the length of the <mark style="background-color:lightblue;" id="104883">sn-2</mark> residue, but this selectivity is lost as the residue gains <mark style="background-color:lightblue;" id="977">oxygen</mark> functions.
18937061-1791	The interactions between N,N'-di(2-hydroxy-3-methyoxy-phenyl-1-<mark style="background-color:lightblue;" id="123164">methylene</mark>)-o-phenyldiamine-mone <mark style="background-color:lightblue;" id="32051">Zn(II</mark>), Nd(III) <mark style="background-color:lightblue;" id="943">nitrate</mark> (2LZnNd) and bovine <mark style="background-color:lightgreen;" id="P21847,P83517">serum albumin</mark> ( <mark style="background-color:lightgreen;" id="P02769">BSA</mark> ) was investigated by various spectroscopic techniques under physiological conditions.
18822413-1812	<mark style="background-color:lightgreen;" id="P81182">High-density-lipoproteins</mark> -<mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> (HDL-C) is invertedly related to the incidence of cardiovascular events.
18830620-1813	Complex modulation of L-type <mark style="background-color:lightblue;" id="271">Ca(2</mark>+) current inactivation by <mark style="background-color:lightgreen;" id="P05044,P30626,Q5R4U9,Q6P069,Q94743">sorcin</mark> in isolated rabbit cardiomyocytes.
18931257-1820	The effect of <mark style="background-color:lightgreen;" id="O01673,O02389,O16127,O18416,O44119,O61379,O96764,O97162,O97192,P31816,P91958,Q02088,Q23758,Q23939,Q25145,Q25456,Q25457,Q25632,Q26503,Q26519,Q7M3Y8,Q8IT89,Q8T380,Q8T6L5,Q8WR63,Q95PU1,Q95VA8,Q9GZ69,Q9GZ70,Q9GZ71,Q9N2R3,Q9NAS5,Q9NDS0,Q9NFZ4,Q9NG56,Q9UB83">tropomyosin</mark> on <mark style="background-color:lightgreen;" id="O00937,O13419,O16808,O17320,O65314,O65315,O65316,O74258,O81221,P02577,P10365,P10989,P11426,P13363,P14235,P17128,P20904,P24902,P26182,P26183,P30161,P45520,P45521,P48465,P50138,P51775,P53455,P53476,P53477,P53491,P53498,P53499,P53500,P53502,P53689,P60009,P60010,P60011,P68555,P78711,P80709,P81085,P90689,P91754,Q05214,Q11212,Q24733,Q2U7A3,Q39596,Q39758,Q6TCF2,Q75D00,Q8SWN8,Q8X119,Q92192,Q92193,Q99023,Q9P4D1,Q9UVF3,Q9UVX4,Q9UVZ8">actin</mark> filaments was independent of ionic strength, but became stronger as the <mark style="background-color:lightblue;" id="5462224">magnesium</mark> concentration increased.
18937214-1831	<mark style="background-color:lightblue;" id="2566">Carbofuran</mark> is a pesticide whose acute toxicity is due to inhibition of <mark style="background-color:lightgreen;" id="Q867X2,Q867X3,Q86GC9,Q92081">acetylcholinesterase</mark> .
18830721-1832	Models of noncoupled dinuclear <mark style="background-color:lightblue;" id="23978">copper</mark> centers in <mark style="background-color:lightgreen;" id="P00279,P00281,P00283,P00284,P00285,P00286,P34097,P80546">azurin</mark> .
18830721-1833	Toward this goal, models of the noncoupled <mark style="background-color:lightblue;" id="23978">copper</mark> centers found in the enzymes peptidyl alpha-hydroxylating monooxygenase ( <mark style="background-color:lightgreen;" id="P10731,P14925,P19021,P83388,P97467,Q95XM2">PHM</mark> ), <mark style="background-color:lightgreen;" id="P09172,P15101,Q05754,Q64237">dopamine beta-monooxygenase</mark> (DBM), and nitrite reductase ( <mark style="background-color:lightgreen;" id="Q39161,Q43090">NiR</mark> ) were designed into the small soluble protein <mark style="background-color:lightgreen;" id="P00279,P00281,P00283,P00284,P00285,P00286,P34097,P80546">azurin</mark> .
18830721-1834	The models are significant because they maintain the existing type 1 (T1) <mark style="background-color:lightblue;" id="23978">copper</mark>, <mark style="background-color:yellow;" id="GO:0006118,biological_process">electron transfer</mark> site of <mark style="background-color:lightgreen;" id="P00279,P00281,P00283,P00284,P00285,P00286,P34097,P80546">azurin</mark> while including the second designed type 2 (T2) <mark style="background-color:lightblue;" id="23978">copper</mark> center that mimics the T2 catalytic sites in the target enzymes.
18830722-1835	Intraprotein <mark style="background-color:yellow;" id="GO:0006118,biological_process">electron transfer</mark> (<mark style="background-color:lightblue;" id="5496892">IET</mark>) from <mark style="background-color:lightblue;" id="710,8965,643976">flavin mononucleotide</mark> (<mark style="background-color:lightblue;" id="710,8965,643976">FMN</mark>) to <mark style="background-color:lightblue;" id="4971">heme</mark> is essential in NO synthesis by NO synthase ( <mark style="background-color:lightgreen;" id="O54705,O61309,O61608,Q26240,Q28969,Q9I9M2">NOS</mark> ).
18830729-1841	The <mark style="background-color:lightgreen;" id="P16397,P18773">esterase</mark> and <mark style="background-color:lightgreen;" id="Q7M4U7">lipase</mark> activities were determined by the hydrolysis of pNPB and <mark style="background-color:lightblue;" id="378">pNPP</mark>, respectively.
18830730-1843	In the present work, the activity of the enzymes <mark style="background-color:lightgreen;" id="P38715">xylose reductase</mark> (XR); <mark style="background-color:lightgreen;" id="P22144,P83049,Q59545,Q8U7Y1,Q92MT4,Q98D10">xylitol dehydrogenase</mark> (XD); and <mark style="background-color:lightblue;" id="5958,439284,439427,439958">glucose-6-phosphate</mark> dehydrogenase ( <mark style="background-color:lightgreen;" id="O00091,O24357,O51581,O54537,O55044,O68282,O83491,O84188,P05370,P0A584,P0A585,P0A586,P0A587,P0AC53,P0AC54,P11410,P11411,P11412,P11413,P12646,P15588,P21907,P29686,P37830,P37986,P41571,P41764,P44311,P48826,P48828,P48848,P48992,P54547,P54996,P56110,P57405,P73411,P77809,P80619,P97324,Q00612,Q23711,Q24625,Q25019,Q25537,Q27464,Q27638,Q29492,Q42919,Q43793,Q43839,Q7YS37,Q89AI7,Q8K9M2,Q8XCJ6,Q9PKK8,Q9X0N9,Q9Z3S2,Q9Z8U6,Q9ZKB2">G6PD</mark> ) during cultivation of Candida guilliermondii on rice straw hemicellulosic hydrolysate was measured and correlated with <mark style="background-color:lightblue;" id="6912">xylitol</mark> production under different pH values (around 4.5 and 7.5) and initial xylose concentration (around 30 and 70 g l(-1)).
18945429-1846	These results suggest that <mark style="background-color:lightgreen;" id="O46689,P49675,P51557,P58864,P70114,P79245,P97826,Q28918,Q28996,Q9DE06,Q9DEB4,Q9DG08,Q9DG09,Q9DG10">StAR</mark> delivers <mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> to mitochondria where regulatory oxysterols are generated.
18937289-1865	The interaction of <mark style="background-color:lightblue;" id="4932">propafenone</mark> (<mark style="background-color:lightblue;" id="70387">PPF</mark>) enantiomers with human plasma, human <mark style="background-color:lightgreen;" id="P21847,P83517">serum albumin</mark> ( <mark style="background-color:lightgreen;" id="P24807,Q07490">HSA</mark> ), alpha(1)-acid <mark style="background-color:lightgreen;" id="P08163">glycoprotein</mark> (<mark style="background-color:lightblue;" id="446113">AGP</mark>), as well as with plasma from rat, rabbit, and cow was investigated using indirect chiral high performance liquid chromatography (HPLC) and ultrafiltration techniques.
